,,使用,高度,移動類型,兵器類型,性能,編成數,耐久度,生產回合,生產計數,特殊能力,,,,,,,,,,,掃除地雷,掃除機雷,夜間減少率,索敵範圍,,,,,,迎擊範圍,,,,,,價格,搭載種類,,,,,,,,,,,,,,,,搭乘種類,搭載地點,回避力,,,,,,,補給,,,,,,,,,初期武裝套組,變形編號,武裝１,副屬,攻擊判定次數,裝填時間,武裝２,副屬,攻擊判定次數,裝填時間,武裝３,副屬,攻擊判定次數,裝填時間,武裝４,副屬,攻擊判定次數,裝填時間,武裝５,副屬,攻擊判定次數,裝填時間,武裝套組１,,,,,,高速移動力,ECM回避力,,武裝套組２,,,,,,高速移動力,ECM回避力,,武裝套組３,,,,,,高速移動力,ECM回避力,,武裝套組４,,,,,,高速移動力,ECM回避力,,圖像編號,兵器移動聲,地圖圖像,地圖圖像小,兵器別圖示
2564,PzH2000,○,地上,履帶A,自走砲,0,10,2,3,12,0,6,0,0,×,×,×,×,×,○,○,×,×,80,1,1,2,2,2,1,0,0,0,0,0,0,150,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,重車輛,無,30,30,34,33,45,32,32,×,○,×,×,×,×,×,○,×,0,0,155mm砲,自走A,1,18,機關槍,車載防,1,8,,,,,,,,,,,,,4,5,0,0,0,5,6,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2564,2,24,24,2518
2569,AS-90勇者之心,○,地上,履帶A,自走砲,0,10,2,3,11,0,5,0,0,×,×,×,×,×,○,○,×,×,80,1,1,2,2,2,1,0,0,0,0,0,0,140,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,重車輛,無,25,25,29,33,33,30,30,×,○,×,×,×,×,×,○,×,0,0,155mm砲,自走A,1,18,,,,,,,,,,,,,,,,,4,0,0,0,0,5,6,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2569,2,24,24,2521
2572,短棒,○,地上,履帶A,自走砲,0,10,2,3,11,0,5,0,0,×,×,×,×,×,○,○,×,×,80,1,1,2,2,2,1,0,0,0,0,0,0,140,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,重車輛,無,25,25,29,33,33,30,30,×,○,×,×,×,×,×,○,×,0,0,155mm砲,自走A,1,18,,,,,,,,,,,,,,,,,4,0,0,0,0,5,6,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2572,2,24,24,2554
2575,大主教,○,地上,履帶B,自走砲,0,10,2,2,6,0,4,0,0,×,×,×,×,×,○,○,×,×,70,1,1,2,2,2,1,0,0,0,0,0,0,70,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,車輛,無,23,23,26,27,27,26,26,×,○,×,×,×,×,×,○,×,0,0,105mm砲,自走B,1,20,,,,,,,,,,,,,,,,,4,0,0,0,0,5,6,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2575,2,24,24,2555
2580,AMX-30GCT AU-F-2,○,地上,履帶A,自走砲,0,10,2,3,11,0,6,0,0,×,×,×,×,×,○,○,×,×,70,1,1,2,2,2,1,0,0,0,0,0,0,140,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,重車輛,無,22,22,28,28,28,30,30,×,○,×,×,×,×,×,○,×,0,0,155mm砲,自走A,1,22,機關槍,車載防,1,8,,,,,,,,,,,,,4,5,0,0,0,5,6,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2580,2,24,24,2524
2583,AMX-30GCT AU-F-1,○,地上,履帶A,自走砲,0,10,2,2,9,0,6,0,0,×,×,×,×,×,○,○,×,×,70,1,1,2,2,2,1,0,0,0,0,0,0,120,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,重車輛,無,22,22,28,27,27,29,29,×,○,×,×,×,×,×,○,×,0,0,155mm砲,自走D,1,22,機關槍,車載防,1,8,,,,,,,,,,,,,4,5,0,0,0,5,6,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2583,2,24,24,2525
2586,AMX-13 Mle.F3,○,地上,履帶A,自走砲,0,10,2,2,6,0,4,0,0,×,×,×,×,×,○,×,×,×,70,1,1,2,2,2,1,0,0,0,0,0,0,90,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,車輛,無,20,20,25,26,26,28,28,×,○,×,×,×,×,×,○,×,0,0,155mm砲,自走D,1,18,,,,,,,,,,,,,,,,,3,0,0,0,0,5,6,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2586,2,24,24,2556
2590,帕瑪麗亞,○,地上,履帶A,自走砲,0,10,2,2,10,0,6,0,0,×,×,×,×,×,○,○,×,×,70,1,1,2,2,2,1,0,0,0,0,0,0,140,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,重車輛,無,24,24,28,32,32,29,29,×,○,×,×,×,×,×,○,×,0,0,155mm砲,自走C,1,26,,,,,,,,,,,,,,,,,5,5,0,0,0,6,7,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2590,2,24,24,7506
2592,班德卡農1C,○,地上,履帶A,自走砲,0,10,2,2,8,0,6,0,0,×,×,×,×,×,○,○,×,×,70,1,1,2,2,2,1,0,0,0,0,0,0,150,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,重車輛,無,24,24,28,32,32,30,30,×,○,×,×,×,×,×,○,×,0,0,155mm砲,自走B,2,12,機關槍,車載防,1,8,,,,,,,,,,,,,4,5,0,0,0,4,5,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2592,2,24,24,2527
2595,浣熊,○,地上,履帶A,自走砲,0,10,2,2,5,0,5,0,0,×,×,×,×,×,○,○,×,×,70,1,1,2,2,2,1,0,0,0,0,0,0,120,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,車輛,無,22,22,26,23,23,25,25,×,○,×,×,×,×,×,○,×,0,0,155mm砲,自走G,1,26,,,,,,,,,,,,,,,,,4,0,0,0,0,5,6,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2595,2,24,24,7507
2600,雷鳴2,○,地上,履帶A,自走砲,0,10,2,2,6,0,5,0,0,×,×,×,×,×,○,○,×,×,70,1,1,2,2,2,1,0,0,0,0,0,0,100,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,車輛,無,23,23,25,26,26,28,28,×,○,×,×,×,×,×,○,×,0,0,155mm砲,自走D,1,26,機關槍,車載防,1,8,,,,,,,,,,,,,4,5,0,0,0,6,7,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2600,2,24,24,2550
2602,雷鳴1,○,地上,履帶A,自走砲,0,10,2,2,5,0,4,0,0,×,×,×,×,×,○,○,×,×,70,1,1,2,2,2,1,0,0,0,0,0,0,70,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,車輛,無,23,23,25,26,26,28,28,×,○,×,×,×,×,×,○,×,0,0,122mm砲,自走,1,24,,,,,,,,,,,,,,,,,5,0,0,0,0,6,7,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2602,2,24,24,2551
2607,畢姆,○,地上,履帶A,自走砲,0,10,2,3,10,0,6,0,0,×,×,×,×,×,○,○,×,×,70,1,1,2,2,2,1,0,0,0,0,0,0,140,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,重車輛,無,25,25,30,34,34,32,32,×,○,×,×,×,×,×,○,×,0,0,155mm砲,自走A,1,20,,,,,,,,,,,,,,,,,4,0,0,0,0,6,7,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2607,2,24,24,2530
2610,石弩,○,地上,履帶A,自走砲,0,10,2,2,7,0,6,0,0,×,×,×,×,×,○,○,×,×,70,1,1,2,2,2,1,0,0,0,0,0,0,90,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,重車輛,無,22,22,26,28,28,28,28,×,○,×,×,×,×,×,○,×,0,0,130mm砲,自走,1,24,機關槍,車載防,1,8,,,,,,,,,,,,,4,5,0,0,0,4,5,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2610,2,24,24,2531
2618,05式自走砲,○,地上,履帶A,自走砲,0,10,2,2,9,0,6,0,0,×,×,×,×,×,○,○,×,×,80,1,1,2,2,2,1,0,0,0,0,0,0,140,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,重車輛,無,25,25,27,28,28,30,30,×,○,×,×,×,×,×,○,×,0,0,155mm砲,自走A,1,20,機關槍,車載防,1,8,,,,,,,,,,,,,4,6,0,0,0,5,6,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2618,2,24,24,7508
2619,PLZ-45,○,地上,履帶A,自走砲,0,10,2,2,9,0,6,0,0,×,×,×,×,×,○,○,×,×,70,1,1,2,2,2,1,0,0,0,0,0,0,140,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,重車輛,無,25,25,27,27,27,30,30,×,○,×,×,×,×,×,○,×,0,0,155mm砲,自走A,1,22,機關槍,車載防,1,8,,,,,,,,,,,,,4,6,0,0,0,5,6,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2619,2,24,24,2533
2624,89式自走砲,○,地上,履帶A,自走砲,0,10,2,2,5,0,5,0,0,×,×,×,×,×,○,○,×,×,70,1,1,2,2,2,1,0,0,0,0,0,0,100,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,車輛,無,24,24,26,27,27,30,30,×,○,×,×,×,×,×,○,×,0,0,122mm砲,自走,1,24,機關槍,車載防,1,8,,,,,,,,,,,,,4,5,0,0,0,5,6,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2624,2,24,24,2534
2628,83式自走砲,○,地上,履帶A,自走砲,0,10,2,2,5,0,5,0,0,×,×,×,×,×,○,○,×,×,70,1,1,2,2,2,1,0,0,0,0,0,0,110,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,重車輛,無,24,24,26,26,26,29,29,×,○,×,×,×,×,×,○,×,0,0,152mm砲,自走C,1,26,機關槍,車載防,1,8,,,,,,,,,,,,,4,5,0,0,0,5,6,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2628,2,24,24,2535
2631,54-1式自走砲,○,地上,履帶B,自走砲,0,10,2,1,3,0,4,0,0,×,×,×,×,×,○,×,×,×,70,1,1,2,2,2,1,0,0,0,0,0,0,60,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,車輛,無,23,23,25,21,21,28,28,×,○,×,×,×,×,×,○,×,0,0,122mm砲,自走B,1,24,機關槍,車載防,1,8,,,,,,,,,,,,,4,5,0,0,0,5,6,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2631,2,24,24,2536
2636,M-1989 谷山,○,地上,履帶A,自走砲,0,10,2,2,9,0,6,0,0,×,×,×,×,×,○,×,×,×,70,1,1,2,2,2,1,0,0,0,0,0,0,160,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,重車輛,無,23,23,26,29,29,28,28,×,○,×,×,×,×,×,○,×,0,0,170mm砲,自走,1,35,,,,,,,,,,,,,,,,,4,0,0,0,0,5,6,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2636,2,24,24,2543
2639,M-1992,○,地上,履帶A,自走砲,0,10,2,2,7,0,6,0,0,×,×,×,×,×,○,×,×,×,70,1,1,2,2,2,1,0,0,0,0,0,0,120,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,重車輛,無,23,23,26,24,24,27,27,×,○,×,×,×,×,×,○,×,0,0,130mm砲,自走,1,26,,,,,,,,,,,,,,,,,5,0,0,0,0,5,6,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2639,2,24,24,7509
2641,M-1985,○,地上,履帶A,自走砲,0,10,2,2,7,0,5,0,0,×,×,×,×,×,○,○,×,×,70,1,1,2,2,2,1,0,0,0,0,0,0,100,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,重車輛,無,25,25,27,27,27,29,29,×,○,×,×,×,×,×,○,×,0,0,122mm砲,自走,1,24,,,,,,,,,,,,,,,,,6,0,0,0,0,5,6,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2641,2,24,24,2541
2644,M-1977,○,地上,履帶A,自走砲,0,10,2,2,6,0,4,0,0,×,×,×,×,×,○,×,×,×,70,1,1,2,2,2,1,0,0,0,0,0,0,100,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,車輛,無,22,22,25,23,23,27,27,×,○,×,×,×,×,×,○,×,0,0,122mm砲,自走,1,26,9K310 伊格1,SA16基雷,1,25,,,,,,,,,,,,,4,1,0,0,0,5,6,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2644,2,24,24,2542
2648,SSPH-1普里茅斯,○,地上,履帶A,自走砲,0,10,2,2,6,0,5,0,0,×,×,×,×,×,○,○,×,×,70,1,1,2,2,2,1,0,0,0,0,0,0,120,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,車輛,無,26,26,28,29,29,31,31,×,○,×,×,×,×,×,○,×,0,0,155mm砲,自走A,1,26,機關槍,車載防,1,8,,,,,,,,,,,,,5,5,0,0,0,5,6,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2648,2,24,24,7510
2654,TAM VCA,○,地上,履帶A,自走砲,0,10,2,2,7,0,5,0,0,×,×,×,×,×,○,○,×,×,70,1,1,2,2,2,1,0,0,0,0,0,0,130,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,重車輛,無,24,24,28,30,30,28,28,×,○,×,×,×,×,×,○,×,0,0,155mm砲,自走C,1,26,,,,,,,,,,,,,,,,,5,5,0,0,0,6,7,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2654,2,24,24,2557
2678,凱薩,○,地上,車輛A,自走砲,0,10,2,2,9,0,3,0,0,×,×,×,×,×,○,○,×,×,70,1,1,2,2,2,1,0,0,0,0,0,0,110,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,車輛,無,19,19,22,20,20,27,27,×,○,×,×,×,×,×,○,×,0,0,155mm砲,自走C,1,26,,,,,,,,,,,,,,,,,4,0,0,0,0,7,8,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2678,3,24,24,2523
2684,FH-77BD 射手,○,地上,車輛A,自走砲,0,10,2,2,7,0,3,0,0,×,×,×,×,×,○,×,×,×,70,1,1,2,2,2,1,0,0,0,0,0,0,110,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,車輛,無,20,20,23,21,21,28,28,×,○,×,×,×,×,×,○,×,0,0,155mm砲,自走C,1,26,,,,,,,,,,,,,,,,,3,0,0,0,0,6,7,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2684,3,24,24,2558
2690,妲娜,○,地上,車輛A,自走砲,0,10,2,2,9,0,4,0,0,×,×,×,×,×,○,○,×,×,70,1,1,2,2,2,1,0,0,0,0,0,0,120,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,重車輛,無,23,23,26,27,27,29,29,×,○,×,×,×,×,×,○,×,0,0,152mm砲,自走B,1,26,機關槍,車載防,1,8,,,,,,,,,,,,,5,5,0,0,0,6,7,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2690,3,24,24,2559
2692,蘇珊娜,○,地上,車輛A,自走砲,0,10,2,2,9,0,4,0,0,×,×,×,×,×,○,○,×,×,70,1,1,2,2,2,1,0,0,0,0,0,0,120,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,重車輛,無,23,23,26,27,27,29,29,×,○,×,×,×,×,×,○,×,0,0,155mm砲,自走C,1,26,機關槍,車載防,1,8,,,,,,,,,,,,,5,5,0,0,0,6,7,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2692,3,24,24,2559
2703,MOBAT,○,地上,車輛A,自走砲,0,10,2,2,6,0,3,0,0,×,×,×,×,×,○,×,×,×,60,1,1,2,2,2,1,0,0,0,0,0,0,80,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,車輛,無,19,19,22,20,20,27,27,×,○,×,×,×,×,×,○,×,0,0,105mm砲,自走,1,20,,,,,,,,,,,,,,,,,6,0,0,0,0,7,8,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2703,3,24,24,2549
2710,G-6犀牛,○,地上,車輛A,自走砲,0,10,2,2,9,0,4,0,0,×,×,×,×,×,○,○,×,×,60,1,1,2,2,2,1,0,0,0,0,0,0,140,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,重車輛,無,24,24,27,26,26,29,29,×,○,×,×,×,×,×,○,×,0,0,155mm砲,自走C,1,20,機關槍,車載防,1,8,,,,,,,,,,,,,4,5,0,0,0,7,8,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2710,3,24,24,2544
2731,96式自走迫擊砲,○,地上,履帶A,自走砲,0,10,2,2,6,0,4,0,0,×,×,×,×,×,○,○,×,×,70,1,1,2,2,2,1,0,0,0,0,0,0,80,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,車輛,無,24,24,27,26,26,31,31,×,○,×,×,×,×,×,○,×,0,0,120mm迫擊砲,車載B,1,14,機關槍,車載防,1,8,,,,,,,,,,,,,4,5,0,0,0,6,7,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2731,2,24,24,2504
2736,60式自走迫擊砲,○,地上,履帶A,自走砲,0,10,2,1,4,0,3,0,0,×,×,×,×,×,○,○,×,×,60,1,1,2,2,2,1,0,0,0,0,0,0,50,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,車輛,無,23,23,25,22,22,28,28,×,○,×,×,×,×,×,○,×,0,0,107mm迫擊砲,車載,1,12,機關槍,車載防,1,8,,,,,,,,,,,,,3,5,0,0,0,5,6,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2736,2,24,24,2505
2740,FCS_NLOS-M,○,地上,履帶A,自走砲,0,10,2,3,12,0,3,0,0,×,×,×,×,×,○,○,×,×,90,1,1,3,3,3,1,0,0,0,0,0,0,120,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,車輛,無,30,30,32,28,46,32,32,×,○,×,×,×,×,×,○,×,0,0,120mm迫擊砲,FCS,1,14,25mmACSW,車載,2,8,,,,,,,,,,,,,4,5,0,0,0,6,8,20,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2740,2,24,24,7511
2744,M-1064,○,地上,履帶B,自走砲,0,10,2,1,5,0,3,0,0,×,×,×,×,×,○,○,×,×,60,1,1,2,2,2,1,0,0,0,0,0,0,55,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,車輛,無,24,24,26,23,23,31,31,×,○,×,×,×,×,×,○,×,0,0,120mm迫擊砲,車載B,1,14,機關槍,車載防,1,8,,,,,,,,,,,,,3,5,0,0,0,5,6,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2744,2,24,24,2508
2747,M-106,○,地上,履帶B,自走砲,0,10,2,1,4,0,3,0,0,×,×,×,×,×,○,○,×,×,60,1,1,2,2,2,1,0,0,0,0,0,0,50,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,車輛,無,24,24,26,23,23,31,31,×,○,×,×,×,×,×,○,×,0,0,107mm迫擊砲,車載,1,12,機關槍,車載防,1,8,,,,,,,,,,,,,4,5,0,0,0,5,6,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2747,2,24,24,2509
2750,M-125,○,地上,履帶B,自走砲,0,10,2,1,4,0,3,0,0,×,×,×,×,×,○,○,×,×,60,1,1,2,2,2,1,0,0,0,0,0,0,45,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,車輛,無,24,24,26,23,23,31,31,×,○,×,×,×,×,×,○,×,0,0,81mm迫擊砲,車載,1,12,機關槍,車載防,1,8,,,,,,,,,,,,,5,5,0,0,0,5,6,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2750,2,24,24,2509
2756,M113A1G PzM,○,地上,履帶B,自走砲,0,10,2,1,4,0,3,0,0,×,×,×,×,×,○,○,×,×,60,1,1,2,2,2,1,0,0,0,0,0,0,55,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,車輛,無,24,24,26,23,23,31,31,×,○,×,×,×,×,×,○,×,0,0,120mm迫擊砲,車載B,1,14,機關槍,車載防,1,8,,,,,,,,,,,,,3,5,0,0,0,5,6,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2756,2,24,24,2519
2760,MwPz.64,○,地上,履帶B,自走砲,0,10,2,1,4,0,3,0,0,×,×,×,×,×,○,○,×,×,60,1,1,2,2,2,1,0,0,0,0,0,0,55,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,車輛,無,24,24,26,23,23,31,31,×,○,×,×,×,×,×,○,×,0,0,120mm迫擊砲,車載B,1,14,機關槍,車載防,1,8,,,,,,,,,,,,,3,5,0,0,0,5,6,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2760,2,24,24,2519
2764,CM-23,○,地上,履帶B,自走砲,0,10,2,1,4,0,3,0,0,×,×,×,×,×,○,○,×,×,60,1,1,2,2,2,1,0,0,0,0,0,0,45,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,車輛,無,24,24,26,23,23,31,31,×,○,×,×,×,×,×,○,×,0,0,81mm迫擊砲,車載,1,10,機關槍,車載防,1,8,,,,,,,,,,,,,5,5,0,0,0,5,6,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2764,2,24,24,2509
2768,K-242A1,○,地上,履帶B,自走砲,0,10,2,1,5,0,3,0,0,×,×,×,×,×,○,○,×,×,60,1,1,2,2,2,1,0,0,0,0,0,0,50,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,車輛,無,24,24,26,23,23,31,31,×,○,×,×,×,×,×,○,×,0,0,107mm迫擊砲,車載,1,12,機關槍,車載防,1,8,,,,,,,,,,,,,3,5,0,0,0,6,7,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2768,2,24,24,2540
2776,2S9番荔枝,○,地上,履帶B,自走砲,0,10,2,2,5,0,3,0,0,×,×,×,×,○,○,○,×,×,70,1,1,2,2,2,1,0,0,0,0,0,0,50,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,輕車輛,無,24,24,26,23,23,30,30,×,○,×,×,×,×,×,○,×,0,0,120mm迫擊砲,車載B,1,14,,,,,,,,,,,,,,,,,3,0,0,0,0,6,7,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2776,2,24,24,2517
2785,BMP-2MC,○,地上,履帶B,自走砲,0,10,2,2,5,0,3,0,0,×,×,×,×,×,○,○,×,×,60,1,1,2,2,2,1,0,0,0,0,0,0,50,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,車輛,無,25,25,27,25,25,32,32,×,○,×,×,×,×,×,○,×,0,0,81mm迫擊砲,車載,1,10,,,,,,,,,,,,,,,,,5,0,0,0,0,6,7,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2785,2,24,24,2532
2794,鼬鼠2 Mrs,○,地上,履帶A,自走砲,0,10,2,2,5,0,2,0,0,×,×,×,×,○,○,○,×,×,70,1,1,2,2,2,1,0,0,0,0,0,0,60,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,輕車輛,無,23,23,26,25,25,28,28,×,○,×,×,×,×,×,○,×,0,0,120mm迫擊砲,車載B,1,14,,,,,,,,,,,,,,,,,3,0,0,0,0,6,7,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2794,2,24,24,2520
2800,FV-432MC,○,地上,履帶A,自走砲,0,10,2,1,5,0,3,0,0,×,×,×,×,×,○,○,×,×,60,1,1,2,2,2,1,0,0,0,0,0,0,50,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,車輛,無,24,24,26,23,23,31,31,×,○,×,×,×,×,×,○,×,0,0,81mm迫擊砲,車載,1,10,,,,,,,,,,,,,,,,,4,0,0,0,0,5,6,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800,2,24,24,2522
